,week_begin,week,month,item_id,category_id,price,competitor_min,competitor_delta,on_promo,sales,normalized_sales,price_index,competitor_index,similarity_group
87,2014-06-15,24,5,394848615,2,58.07,58.07,582,FALSE,627.78,1.83000523,1,1,34
88,2014-06-22,25,5,394848615,2,58.07,58.07,575,FALSE,280.21,0.816823991,1,1,33
89,2014-07-20,29,6,394848615,2,58.07,58.07,547,FALSE,392.74,1.144853697,1,1,34
90,2014-08-03,31,7,394848615,2,58.07,58.07,533,FALSE,209.26,0.610001743,1,1,33
91,2014-08-24,34,7,394848615,2,58.07,58.07,512,FALSE,1240.49,3.616080772,1,1,34
92,2014-09-07,36,8,394848615,2,58.07,58.07,498,FALSE,157.7,0.459702164,1,1,31
93,2014-09-28,39,9,394848615,2,58.07,58.07,477,FALSE,183.48,0.534851954,1,1,32
94,2014-10-12,41,9,394848615,2,58.07,58.07,463,FALSE,985.71,2.873386305,1,1,34
95,2014-10-19,42,9,394848615,2,58.07,58.07,456,FALSE,157.7,0.459702164,1,1,31
96,2014-10-26,43,9,394848615,2,58.07,58.07,449,FALSE,157.7,0.459702164,1,1,31
97,2014-06-29,26,6,394849192,4,0,35.13,568,FALSE,1824.89,4.138166398,0,0,14
98,2014-08-31,35,8,394849192,4,63.1,35.13,505,FALSE,160.14,0.363137486,1.166666975,1.796185596,31
99,2014-09-21,38,8,394849192,4,63.1,35.13,484,FALSE,188.35,0.427107191,1.166666975,1.796185596,32
100,2014-09-28,39,9,394849192,4,63.1,35.13,477,FALSE,320.28,0.726274972,1.166666975,1.796185596,33
101,2014-10-05,40,9,394849192,4,63.1,35.13,470,FALSE,188.35,0.427107191,1.166666975,1.796185596,32
102,2014-10-26,43,9,394849192,4,63.1,35.13,449,FALSE,216.57,0.491099571,1.166666975,1.796185596,33
103,2014-11-02,44,10,394849192,4,63.1,35.13,442,FALSE,188.35,0.427107191,1.166666975,1.796185596,32
104,2014-01-12,2,0,394849398,5,30.05,30.05,736,FALSE,337.2,1.633048405,1,1,23
105,2014-02-23,8,1,394849398,5,30.05,30.05,694,FALSE,180.82,0.875705257,1,1,22
106,2014-05-18,20,4,394849398,5,30.05,30.05,610,FALSE,327.54,1.586265346,1,1,23
107,2014-06-22,25,5,394849398,5,30.05,30.05,575,FALSE,180.82,0.875705257,1,1,22
108,2014-07-13,28,6,394849398,5,30.05,30.05,554,FALSE,144.15,0.698113664,1,1,21
109,2014-07-20,29,6,394849398,5,30.05,30.05,547,FALSE,144.15,0.698113664,1,1,21
110,2014-08-03,31,7,394849398,5,30.05,30.05,533,FALSE,193.05,0.934934741,1,1,22
111,2014-09-14,37,8,394849398,5,30.05,30.05,491,FALSE,144.15,0.698113664,1,1,21
112,2014-06-15,24,5,394851121,1,20.8,19.88,588,FALSE,139.67,0.727542649,1,1.046277666,11
113,2014-06-29,26,6,394851121,1,20.8,19.88,574,FALSE,224.91,1.171558797,1,1.046277666,13
114,2014-07-27,30,6,394851121,1,20.8,19.88,546,FALSE,147.42,0.767912489,1,1.046277666,11
115,2014-08-10,32,7,394851121,1,20.8,19.88,532,FALSE,255.9,1.332986066,1,1.046277666,13
116,2014-01-19,3,0,394851374,1,0,36.86,772,FALSE,157.09,0.447018402,0,0,11
117,2014-01-26,4,0,394851374,1,0,36.86,765,FALSE,157.09,0.447018402,0,0,11
118,2014-02-16,7,1,394851374,1,0,36.86,744,FALSE,157.09,0.447018402,0,0,11
119,2014-03-09,10,2,394851374,1,0,36.86,723,FALSE,314.18,0.894036805,0,0,13
120,2014-04-27,17,3,394851374,1,0,36.86,674,FALSE,343.38,0.977128901,0,0,13
121,2014-06-15,24,5,394851374,1,0,36.86,625,FALSE,585.05,1.664829819,0,0,14
122,2014-07-13,28,6,394851374,1,0,36.86,597,FALSE,182.25,0.518614195,0,0,12
123,2014-08-31,35,8,394851374,1,56.8,36.86,548,FALSE,157.09,0.447018402,1.875002063,1.540965817,31
124,2014-09-07,36,8,394851374,1,56.8,36.86,541,FALSE,339.34,0.965632597,1.875002063,1.540965817,33
125,2014-09-14,37,8,394851374,1,56.8,36.86,534,FALSE,364.5,1.037228389,1.875002063,1.540965817,34
126,2014-09-21,38,8,394851374,1,56.8,36.86,527,FALSE,716.82,2.03979713,1.875002063,1.540965817,34
127,2014-09-28,39,9,394851374,1,56.8,36.86,520,FALSE,364.51,1.037256845,1.875002063,1.540965817,34
128,2014-10-05,40,9,394851374,1,56.8,36.86,513,FALSE,314.18,0.894036805,1.875002063,1.540965817,33
129,2014-10-12,41,9,394851374,1,56.8,36.86,506,FALSE,571.93,1.627495288,1.875002063,1.540965817,34
130,2014-10-19,42,9,394851374,1,56.8,36.86,499,FALSE,546.76,1.55587104,1.875002063,1.540965817,34
131,2014-10-12,41,9,394851440,5,55.07,53.54,469,FALSE,156.25,1,1,1.028576765,31
132,2014-02-09,6,1,394852216,4,21.71,19.88,708,FALSE,189.26,1.033760252,1,1.092052314,12
133,2014-04-27,17,3,394852216,4,21.71,19.88,631,FALSE,139.23,0.760490542,1,1.092052314,11
134,2014-05-25,21,4,394852216,4,21.71,19.88,603,FALSE,213.84,1.168019087,1,1.092052314,12
135,2014-06-15,24,5,394852216,4,21.71,19.88,582,FALSE,197.68,1.079751277,1,1.092052314,12
136,2014-06-29,26,6,394852216,4,21.71,19.88,568,FALSE,161.14,0.880165524,1,1.092052314,11
137,2014-07-06,27,6,394852216,4,21.71,19.88,561,FALSE,139.23,0.760490542,1,1.092052314,11
138,2014-07-13,28,6,394852216,4,21.71,19.88,554,FALSE,209.41,1.143821909,1,1.092052314,12
139,2014-08-03,31,7,394852216,4,21.71,19.88,533,FALSE,148.3,0.810031942,1,1.092052314,11
140,2014-09-07,36,8,394852216,4,21.71,19.88,498,FALSE,140.11,0.765297205,1,1.092052314,11
141,2014-09-28,39,9,394852216,4,21.71,19.88,477,FALSE,337.57,1.843846816,1,1.092052314,13
142,2014-10-05,40,9,394852216,4,21.71,19.88,470,FALSE,140.11,0.765297205,1,1.092052314,11
143,2014-10-19,42,9,394852216,4,21.71,19.88,456,FALSE,181.07,0.989025515,1,1.092052314,12
144,2014-09-07,36,8,394852662,4,30.05,21.2,498,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
145,2015-01-11,54,12,394852662,4,30.05,21.2,372,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
146,2015-02-15,59,13,394852662,4,30.05,21.2,337,FALSE,180.82,1.055166007,1.119939773,1.41745283,22
147,2015-03-01,61,14,394852662,4,30.05,21.2,323,FALSE,180.82,1.055166007,1.119939773,1.41745283,22
148,2015-04-12,67,15,394852662,4,30.05,21.2,281,FALSE,156.37,0.912489263,1.119939773,1.41745283,21
149,2015-06-07,75,17,394852662,4,30.05,21.2,225,FALSE,300.52,1.753669331,1.119939773,1.41745283,23
150,2015-06-28,78,18,394852662,4,30.05,21.2,204,FALSE,156.37,0.912489263,1.119939773,1.41745283,21
151,2015-07-05,79,18,394852662,4,30.05,21.2,197,FALSE,180.82,1.055166007,1.119939773,1.41745283,22
152,2015-08-02,83,19,394852662,4,30.05,21.2,169,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
153,2015-09-13,89,20,394852662,4,30.05,21.2,127,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
154,2015-09-20,90,20,394852662,4,30.05,21.2,120,FALSE,410.56,2.395802211,1.119939773,1.41745283,24
155,2015-10-11,93,21,394852662,4,30.05,21.2,99,FALSE,156.37,0.912489263,1.119939773,1.41745283,21
156,2015-10-25,95,21,394852662,4,30.05,21.2,85,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
157,2015-11-29,100,23,394852662,4,30.05,21.2,50,FALSE,144.15,0.841180068,1.119939773,1.41745283,21
158,2015-12-27,104,24,394852662,4,21.2,21.2,22,FALSE,139.87,0.816204343,0.790107261,1,11
159,2016-03-13,115,26,394852662,4,21.2,35.23,0,FALSE,163.7,0.955263109,0.790107261,0.601759864,11
160,2016-03-27,117,27,394852662,4,21.2,21.2,0,FALSE,147.81,0.862537814,0.790107261,1,11
161,2016-07-10,132,30,394852662,4,21.2,21.2,3,FALSE,171.65,1.001654934,0.790107261,1,12
162,2016-07-31,135,31,394852662,4,21.2,21.2,0,FALSE,139.87,0.816204343,0.790107261,1,11
163,2016-08-07,136,31,394852662,4,21.2,21.2,1,FALSE,139.87,0.816204343,0.790107261,1,11
